time_seconds,speed_meters_per_second,acceleration_meters_per_second_squared
233,19.144136,-0.374186
234,18.913658,-0.230478
235,19.14791,0.234252
236,19.57192,0.42401
237,19.98923,0.41731
238,20.376606,0.387376
239,20.766132,0.389526
240,21.08639,0.320258
241,21.362045,0.275655
242,21.610798,0.248753
243,21.831493,0.220695
244,22.031038,0.199545
245,22.342094,0.311056
246,22.504374,0.16228
247,22.735695,0.231321
248,22.814823,0.079128
249,23.269627,0.454804
250,23.49478,0.225153
251,23.787836,0.293056
252,23.96746,0.179624
253,24.305658,0.338198
254,24.46626,0.160602
255,24.650892,0.184632
256,24.79771,0.146818
257,24.836206,0.038496
258,24.550488,-0.285718
259,24.105986,-0.444502
260,23.72268,-0.383306
261,23.148829,-0.573851
262,22.987818,-0.161011
263,22.611122,-0.376696
264,22.401613,-0.209509
265,22.441221,0.039608
266,22.837078,0.395857
267,22.933006,0.095928
268,23.19452,0.261514
269,23.51227,0.31775
270,23.790468,0.278198
271,23.817636,0.027168
272,23.75534,-0.062296
273,23.783955,0.028615
274,23.802567,0.018612
275,23.835745,0.033178
276,23.814949,-0.020796
277,23.818476,0.003527
278,23.754562,-0.063914
279,23.78968,0.035118
280,23.73127,-0.05841
281,23.694138,-0.037132
282,23.461283,-0.232855
283,23.538643,0.07736
284,23.601742,0.063099
285,23.761223,0.159481
286,23.869337,0.108114
287,23.953712,0.084375
288,23.95087,-0.002842
289,23.809229,-0.141641
290,23.559923,-0.249306
291,23.35067,-0.209253
292,23.119675,-0.230995
293,23.165886,0.046211
294,23.775566,0.60968
295,23.821573,0.046007
296,24.110085,0.288512
297,24.121445,0.01136
298,24.086374,-0.035071
299,24.331371,0.244997
300,24.841211,0.50984
301,25.028164,0.186953
302,25.07596,0.047796
303,25.018438,-0.057522
304,24.84375,-0.174688
305,24.625134,-0.218616
306,24.831553,0.206419
307,24.956968,0.125415
308,25.364042,0.407074
309,25.476555,0.112513
310,25.585955,0.1094
311,25.53902,-0.046935
312,25.474117,-0.064903
313,25.452766,-0.021351
314,25.433973,-0.018793
315,25.421959,-0.012014
316,25.373564,-0.048395
317,25.205263,-0.168301
318,24.978125,-0.227138
319,24.88597,-0.092155
320,24.927656,0.041686
321,25.023962,0.096306
322,25.047358,0.023396
323,25.036474,-0.010884
324,25.041964,0.00549
325,25.079254,0.03729
326,25.270601,0.191347
327,25.288774,0.018173
328,25.363703,0.074929
329,25.435883,0.07218
330,25.387753,-0.04813
331,25.204044,-0.183709
332,25.38255,0.178506
333,25.508295,0.125745
334,25.667856,0.159561
335,25.970556,0.3027
336,26.376568,0.406012
337,26.570883,0.194315
338,26.762102,0.191219
339,26.87448,0.112378
340,26.782885,-0.091595
341,26.851126,0.068241
342,26.666677,-0.184449
343,26.335508,-0.331169
344,25.9268,-0.408708
345,25.783627,-0.143173
346,25.794373,0.010746
347,25.872423,0.07805
348,26.015583,0.14316
349,26.116152,0.100569
350,25.996677,-0.119475
351,25.645952,-0.350725
352,25.226093,-0.419859
353,25.019363,-0.20673
354,25.03082,0.011457
355,25.177866,0.147046
356,25.516459,0.338593
357,25.80155,0.285091
358,26.073172,0.271622
359,26.427273,0.354101
360,26.673843,0.24657
361,26.544662,-0.129181
